Data;Hora;Original;Atual;45% OFF
17/11/2025;14:33:12;346,62;328,98;190,64
17/11/2025;21:24:38;346,62;328,98;190,64
17/11/2025;19:12:53;346,62;328,98;190,64
18/11/2025;10:37:09;346,62;328,98;190,64
18/11/2025;20:41:58;346,62;328,98;190,64
19/11/2025;10:36:46;657,77;346,62;361,77
19/11/2025;10:52:56;346,62;346,62;190,64
19/11/2025;18:20:30;346,62;346,62;190,64
20/11/2025;10:35:23;346,62;346,62;190,64
20/11/2025;18:24:24;346,62;346,62;190,64
21/11/2025;10:33:39;346,62;346,62;190,64
21/11/2025;18:23:20;346,62;346,62;190,64
22/11/2025;10:28:28;346,62;326,00;190,64
22/11/2025;18:22:33;346,62;326,00;190,64
23/11/2025;10:28:17;346,62;326,00;190,64
23/11/2025;18:22:57;346,62;326,00;190,64
24/11/2025;10:38:05;346,62;326,00;190,64
24/11/2025;18:25:51;346,62;326,00;190,64
25/11/2025;10:39:09;326,00;317,00;179,30
